F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000   86477    1343  0  80   0 - 168382 do_pol ?       00:00:07 evolution-addre
0 S  1000   86480    1343  0  80   0 - 79338 do_pol ?        00:00:02 gvfs-udisks2-vo
0 S  1000   86493    1343  0  80   0 - 59713 do_pol ?        00:00:00 gvfs-gphoto2-vo
0 S  1000   86497    1343  0  80   0 - 59441 do_pol ?        00:00:00 gvfs-mtp-volume
0 S  1000   86501    1343  0  80   0 - 79126 do_pol ?        00:02:50 gvfs-afc-volume
0 S  1000   86506    1343  0  80   0 - 59483 do_pol ?        00:00:00 gvfs-goa-volume
0 S  1000   86515   86373  0  80   0 - 79042 do_pol ?        00:00:00 gvfsd-trash
0 S  1000   86524    1343  0  80   0 - 137844 do_pol ?       00:01:46 xdg-desktop-por
0 S  1000   86528    1343  0  80   0 - 116119 do_pol ?       00:00:00 xdg-document-po
4 S     0   86533   86528  0  80   0 -   698 -      ?        00:00:00 fusermount3
0 S  1000   86536    1343  0  80   0 - 217373 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000   86543    1343  0  80   0 - 733141 do_pol ?       00:00:00 gjs
0 S  1000   86545    1343  0  80   0 - 40686 do_pol ?        00:00:00 at-spi2-registr
0 S  1000   86566    1343  0  80   0 -   722 do_wai ?        00:00:00 sh
0 S  1000   86567    1343  0  80   0 - 77932 do_pol ?        00:00:00 gsd-a11y-settin
0 S  1000   86569   86566  0  80   0 - 79080 do_pol ?        00:00:00 ibus-daemon
0 S  1000   86570    1343  0  80   0 - 153247 do_pol ?       00:00:21 gsd-color
0 S  1000   86572    1343  0  80   0 - 94190 do_pol ?        00:00:00 gsd-datetime
0 S  1000   86574    1343  0  80   0 - 78355 do_pol ?        00:02:38 gsd-housekeepin
0 S  1000   86576    1343  0  80   0 - 104325 do_pol ?       00:00:00 gsd-keyboard
0 S  1000   86577    1343  0  80   0 - 179947 do_pol ?       00:00:00 gsd-media-keys
0 S  1000   86580    1343  0  80   0 - 113366 do_pol ?       00:00:06 gsd-power
0 S  1000   86583    1343  0  80   0 - 62861 do_pol ?        00:00:09 gsd-print-notif
